"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1419926;9.2337;61.3149;1147
;1419927;9.2523;61.3157;1163
;1419929;9.2895;61.3173;1324
;1421100;8.8455;61.2888;1204
;1421101;8.8641;61.2897;1074
;1421110;9.0311;61.2971;1222
;1421111;9.0497;61.2979;1354
;1421112;9.0682;61.2988;1322
;1421121;9.2354;61.306;1157
;1421122;9.254;61.3068;1140
;1421123;9.2725;61.3076;1212
;1421124;9.2911;61.3083;1285
;1422296;8.8659;61.2807;1045
;1422297;8.8844;61.2816;1033
;1422298;8.903;61.2824;1117
;1422301;8.9586;61.2849;1152
;1422302;8.9771;61.2857;1231
;1422303;8.9957;61.2866;1265
;1422304;9.0143;61.2874;1216
;1422305;9.0328;61.2882;1154
;1422306;9.0514;61.289;1185
;1422307;9.0699;61.2898;1165
;1422308;9.0885;61.2906;1208
;1422309;9.1071;61.2915;1301
;1422310;9.1256;61.2923;1330
;1422315;9.2184;61.2963;1381
;1422316;9.237;61.297;1157
;1422317;9.2556;61.2978;1141
;1422318;9.2742;61.2986;1163
;1422319;9.2927;61.2994;1292
;1423492;8.8861;61.2726;1003
;1423493;8.9047;61.2735;984
;1423494;8.9232;61.2743;981
;1423495;8.9418;61.2751;991
;1423496;8.9603;61.276;981
;1423497;8.9789;61.2768;1032
;1423498;8.9974;61.2776;1202
;1423499;9.016;61.2784;1225
;1423500;9.0345;61.2793;1131
;1423501;9.0531;61.2801;1117
;1423502;9.0716;61.2809;1108
;1423503;9.0902;61.2817;1126
;1423504;9.1087;61.2825;1165
;1423505;9.1273;61.2833;1156
;1423506;9.1459;61.2841;1258
;1423507;9.1644;61.2849;1257
;1423508;9.183;61.2857;1293
;1423509;9.2015;61.2865;1464
;1423510;9.2201;61.2873;1468
;1423511;9.2387;61.2881;1144
;1423512;9.2572;61.2889;1127
;1423513;9.2758;61.2897;1148
;1424688;8.9064;61.2646;1036
;1424689;8.925;61.2654;1065
;1424690;8.9435;61.2662;1016
;1424691;8.962;61.267;981
;1424692;8.9806;61.2679;990
;1424693;8.9991;61.2687;1041
;1424694;9.0177;61.2695;1133
;1424695;9.0362;61.2703;1071
;1424696;9.0548;61.2712;1111
;1424697;9.0733;61.272;1102
;1424698;9.0919;61.2728;1108
;1424699;9.1104;61.2736;1149
;1424700;9.129;61.2744;1134
