attr_typename,data variables,data variables,data variables,variable:threshold,data variables,global,global,global,global,global,global,global,global,global,global,global,global,global
Variabelnavn,long_name,standard_name,units,threshold,norwegian_name,summary_no,summary,time_coverage_start,time_coverage_end,time_coverage_resolution,title_no,title,creator_name,creator_institution,creator_email,keywords,source,collection
diff-tas,difference in mean air temperature,,degC,,differanse i middeltemperatur,"Endring i gjennomsnittlig lufttemperatur (ca 2 meter over bakken) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100, for 1x1 km romlig oppløsning.","Change in mean air temperature (ca. 2 meters above ground) between the reference period (1991-2020) and a future period for year or season, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i middeltemperatur for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in mean air temperature averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > AIR TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-tas0lt,difference in winter season length,,day,0,differanse i vintersesongens lengde,"Endring i antall dager med gjennomsnittlig lufttemperatur under null grader (tas<0 °C) mellom referanseperioden (1991-2020) og en fremtidsperiode. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Basert på døgnnormaler for temperatur, for 1x1 km romlig oppløsning.","Change in the number of days with an average air temperature below zero degrees (tas <0 °C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Based on daily temperature normals.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i vintersesongens lengde for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in winter season length averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Ole Einar Tveito, Helga Therese Tilley Tajet",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-tas10gt	,difference in summer season length,,day,10,"differanse i sommersesongens lengde
","Endring i antall dager med gjennomsnittlig lufttemperatur over 10 grader (tas>10 °C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Basert på døgnnormaler for temperatur.","Change in the number of days with an average air temperature above 10 degrees (tas>10 °C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Based on daily temperature normals.
",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i sommersesongens lengde for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in summer season length averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Ole Einar Tveito, Helga Therese Tilley Tajet",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-gsl,difference in growing season length,,day,5,differanse i vekstsesongens lengde,"Endring i antall dager med gjennomsnittlig lufttemperatur over eller lik 5 grader (tas>=5 °C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Basert på døgnnormaler for temperatur.","Change in the number of days with an average air temperature above or equal to 5 degrees (tas>=5 °C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Based on daily temperature normals.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i vekstsesongens lengde for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in growing season length averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Ole Einar Tveito, Helga Therese Tilley Tajet",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > LAND SURFACE/AGRICULTURE INDICATORS > LENGTH OF GROWING SEASON, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-degday5ge,difference in growing degree-days,,degC day,5,differanse i vekstgraddager,"Endring i sum av graddager over 5 grader (tas>5°C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Vekstgraddager, også kalt vekstgradtall, er døgnet sin varmesum og er et mål på hvor gode forhold det er for planters vekst. Varmesummen til en dag er definert som antall grader døgnmiddeltemperaturen ligger over en terskelverdi (som her er tas > 5 ºC). Basert på døgnnormaler for temperatur.","Change in the sum of degree days above 5 degrees (tas>5ºC) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. Growing degree days, also called growing degree numbers, are the sum of the heat of the day and are a measure of how good the conditions are for plant growth. The heat sum for a day is defined as the number of degrees the daily average temperature is above a threshold value (which here is tas > 5 ºC). The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Based on daily temperature normals.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i vekstgraddager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in growing degree-days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES > GROWING DEGREE DAYS, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-degday17le,differende in energy degree-days,,degC day,17,differanse i energigraddager,"Endring i sum av graddager under 17 grader (tas<17°C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Basert på døgnnormaler for temperatur.","Change in the sum of degree days under 17 degrees (tas<17ºC) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Based on daily temperature normals.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i energigraddager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal differende in energy degree-days averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES > GROWING DEGREE DAYS, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-degday22ge,difference in cooling degree-day,,degC day,22,differanse i avkjølingsgraddager,"Endring i sum av graddager over 22 grader (tas >22°C) mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100. Basert på døgnnormaler for temperatur.","Change in the sum of degree days above 22 degrees (tas>22°C) between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. Based on daily temperature normals.",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i avkjølingsgraddager for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in cooling degree-day averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES > COOLING DEGREE DAYS, GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > ATMOSPHERIC TEMPERATURE INDICES > COOLING DEGREE DAYS, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-fdgs,difference in frost days in the growing season,,day,,differanse i frostdager i vekstsesongen,"Endring i antall dager med minimumstemperatur under 0 grader (tasmin<0 °C) i vekstsesongen beregnet for hvert enkelt år, mellom referanseperioden (1991-2020) og en fremtidsperiode, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.  ","Change in the number of days with minimum temperature below 0 degrees (tasmin<0 °C) in the growing season, computed for each year separately, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i frostdager i vekstsesongen for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in frost days in the growing season averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.","Andreas Dobler, Helga Therese Tilley Tajet",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
diff-tasmax,difference in maximum air temperature,,degC,,differanse i maksimumstemperatur,"Endring i gjennomsnittet av hvert døgns høyeste lufttemperatur (ca 2 meter over bakken) mellom referanseperioden (1991-2020) og en fremtidsperiode for år eller sesong, for 1x1 km romlig oppløsning. Første tidsskritt representerer fremtidsperioden 2041-2070, og andre tidsskritt representerer fremtidsperioden 2071-2100.","Change in the average of each day's highest air temperature (approx. 2 meters above the ground) for year or season, between the reference period (1991-2020) and a future period, at a 1x1 km spatial resolution. The first time step represents the future period 2041-2070, and the second time step represents the future period 2071-2100. ",2056-01-01T00:00:00Z,2086-01-01T00:00:00Z,P30Y,"differanse i maksimumstemperatur for år eller sesonger, midlet over periodene 2041–2070 eller 2071–2100 under utslippsscenario {scenario}, sammenlignet med 1991–2020","Annual or seasonal difference in maximum air temperature averaged over the periods 2041–2070 or 2071–2100 under emission scenario {scenario}, compared to 1991–2020.",Andreas Dobler,Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > MAXIMUM/MINIMUM TEMPERATURE > 24 HOUR MAXIMUM TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
