attr_typename,data variables,data variables,data variables,data variables,global,global,global,global,global,global,global,global,global,global,global
Variabelnavn,long_name,standard_name,units,norwegian_name,time_coverage_resolution,title_no,title,summary_no,summary,creator_name,creator_institution,creator_email,keywords,source,collection
hurs,bias-adjusted daily mean near-surface relative humidity,relative_humidity,%,relativ fuktighet,P1D,Biasjusterte døgnmiddel-framskrivinger for relativ fuktighet under utslippsscenario {scenario}.,Bias-adjusted daily mean near-surface relative humidity projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for relativ fuktighet under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean near-surface relative humidity projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WATER VAPOR > WATER VAPOR INDICATORS > HUMIDITY > RELATIVE HUMIDITY, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
pr,bias-adjusted daily mean precipitation,precipitation_flux,kg m-2 s-1,nedbør,P1D,Biasjusterte døgnmiddel-framskrivinger for nedbør under utslippsscenario {scenario}.,Bias-adjusted daily mean precipitation projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for nedbør under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean precipitation projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > PRECIPITATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
ps,bias-adjusted daily mean surface air pressure,surface_air_pressure,Pa,overflatetrykk,P1D,Biasjusterte døgnmiddel-framskrivinger for overflatetrykk under utslippsscenario {scenario}.,Bias-adjusted daily mean surface air pressure projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for overflatetrykk under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean surface air pressure projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC PRESSURE > SURFACE PRESSURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
rlds,bias-adjusted daily mean surface downwelling longwave radiation,surface_downwelling_longwave_flux_in_air,W m-2,langbølget stråling,P1D,Biasjusterte døgnmiddel-framskrivinger for langbølget stråling under utslippsscenario {scenario}.,Bias-adjusted daily mean surface downwelling longwave radiation projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for langbølget stråling under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean surface downwelling longwave radiation projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC RADIATION > LONGWAVE RADIATION > DOWNWELLING LONGWAVE RADIATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
rsds,bias-adjusted daily mean surface downwelling shortwave radiation,surface_downwelling_shortwave_flux_in_air,W m-2,kortbølget stråling,P1D,Biasjusterte døgnmiddel-framskrivinger for kortbølget stråling under utslippsscenario {scenario}.,Bias-adjusted daily mean surface downwelling shortwave radiation projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for kortbølget stråling under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean surface downwelling shortwave radiation projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC RADIATION > SHORTWAVE RADIATION > DOWNWELLING SHORTWAVE RADIATION, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
sfcWind,bias-adjusted daily mean near-surface wind speed,wind_speed,m s-1,vindhastighet,P1D,Biasjusterte døgnmiddel-framskrivinger for vindhastighet under utslippsscenario {scenario}.,Bias-adjusted daily mean near-surface wind speed projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for vindhastighet under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean near-surface wind speed projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC WINDS > SURFACE WINDS > WIND SPEED, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
tas,bias-adjusted daily mean near-surface air temperature,air_temperature,K,middeltemperatur,P1D,Biasjusterte døgnmiddel-framskrivinger for middeltemperatur under utslippsscenario {scenario}.,Bias-adjusted daily mean near-surface air temperature projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for middeltemperatur under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily mean near-surface air temperature projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > AIR TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
tasmax,bias-adjusted daily maximum near-surface air temperature,air_temperature,K,maksimumstemperatur,P1D,Biasjusterte døgnmiddel-framskrivinger for maksimumstemperatur under utslippsscenario {scenario}.,Bias-adjusted daily maximum near-surface air temperature projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for maksimumstemperatur under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily maximum near-surface air temperature projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > MAXIMUM/MINIMUM TEMPERATURE > 24 HOUR MAXIMUM TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
tasmin,bias-adjusted daily minimun near-surface air temperature,air_temperature,K,minimumstemperatur,P1D,Biasjusterte døgnmiddel-framskrivinger for minimumstemperatur under utslippsscenario {scenario}.,Bias-adjusted daily minimun near-surface air temperature projections under emission scenario {scenario}.,Biasjusterte døgnmiddel-framskrivinger for minimumstemperatur under utslippsscenario {scenario} med 1x1 km romlig oppløsning.,Bias-adjusted daily minimun near-surface air temperature projections under emission scenario {scenario} at a 1x1 km spatial resolution.,"Wai Kwok Wong, Andreas Dobler","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > MAXIMUM/MINIMUM TEMPERATURE > 24 HOUR MAXIMUM TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Numerical Simulation,KSS
