attr_typename,data variables,data variables,data variables,variable:threshold,data variables,global,global,global,global,global,global,global,global,global,global,global,global,global
Variabelnavn,long_name,standard_name,units,threshold,norwegian_name,summary_no,summary,time_coverage_start,time_coverage_end,time_coverage_resolution,title_no,title,creator_name,creator_institution,creator_email,keywords,source,collection
tas,mean air temperature,air_temperature,degC,,middeltemperatur,"Gjennomsnittlig lufttemperatur (ca 2 meter over bakken) for år eller sesong, for perioden 1991-2020, med 1x1 km romlig oppløsning.","Mean air temperature (ca. 2 meters above ground) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"middeltemperatur for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal mean air temperature averaged over the period 1991–2020.,"Ole Einar Tveito, Helga Therese Tilley Tajet","Norwegian Meteorological Institute (MET Norway), Norwegian Meteorological Institute (MET Norway)","klimavakten@met.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > AIR TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
tas0lt,winter season length,spell_length_of_days_with_air_temperature_below_threshold,day,0,vintersesongens lengde,"Antall dager med gjennomsnittlig lufttemperatur under null grader (tas<0 °C) for perioden 1991-2020, for 1x1 km romlig oppløsning. Basert på døgnnormaler for temperatur.","Number of days with an average air temperature below zero degrees (tas <0 °C) for the period 1991-2020, at a 1x1 km spatial resolution. Based on daily temperature normals.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"vintersesongens lengde for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal winter season length averaged over the period 1991–2020.,"Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
tas10gt,summer season length,spell_length_of_days_with_air_temperature_above_threshold,day,10,sommeresesongens lengde,"Antall dager med gjennomsnittlig lufttemperatur over 10 grader (tas>10 °C) for perioden 1991-2020, for 1x1 km romlig oppløsning. Basert på døgnnormaler for temperatur.","Number of days with an average air temperature above 10 degrees (tas>10 °C) for the period 1991-2020, at a 1x1 km spatial resolution. Based on daily temperature normals.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"sommeresesongens lengde for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal summer season length averaged over the period 1991–2020.,"Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
gsl,growing season length,spell_length_of_days_with_air_temperature_above_threshold,day,5,vekstsesongens lengde,"Antall dager med gjennomsnittlig lufttemperatur over eller lik 5 grader (tas>=5 °C) for perioden 1991-2020, for 1x1 km romlig oppløsning. Basert på døgnnormaler for temperatur. ","Number of days with an average air temperature above or equal to 5 degrees (tas>=5 °C) for the period 1991-2020, at a 1x1 km spatial resolution. Based on daily temperature normals.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"vekstsesongens lengde for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal growing season length averaged over the period 1991–2020.,"Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > LAND SURFACE/AGRICULTURE INDICATORS > LENGTH OF GROWING SEASON, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
degday5ge,growing degree-days,integral_wrt_time_of_air_temperature_excess,degC day,5,vekstgraddager,"Sum av graddager over 5 grader (tas>5°C) for perioden 1991-2020, for 1x1 km romlig oppløsning. Vekstgraddager, også kalt vekstgradtall, er døgnet sin varmesum og er et mål på hvor gode forhold det er for planters vekst. Varmesummen til en dag er definert som antall grader døgnmiddeltemperaturen ligger over en terskelverdi. Basert på døgnnormaler for temperatur.","Sum of degree days above 5 degrees (tas>5ºC) for the period 1991-2020, at a 1x1 km spatial resolution. Growing degree days, also called growing degree numbers, are the sum of the heat of the day and are a measure of how good the conditions are for plant growth. The heat sum for a day is defined as the number of degrees the daily average temperature is above a threshold value. Based on daily temperature normals.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"vekstgraddager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal growing degree-days averaged over the period 1991–2020.,"Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES > GROWING DEGREE DAYS, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
degday17le,energy degree-days,integral_wrt_time_of_air_temperature_excess,degC day,17,energigraddager,"Sum av graddager under 17 grader (tas<17°C) for perioden 1991-2020, for 1x1 km romlig oppløsning. Basert på døgnnormaler for temperatur.","Sum of degree days under 17 degrees (tas<17ºC) for the period 1991-2020, at a 1x1 km spatial resolution. Based on daily temperature normals.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"energigraddager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal energy degree-days averaged over the period 1991–2020.,"Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES > GROWING DEGREE DAYS, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
degday22ge,cooling degree-days,integral_wrt_time_of_air_temperature_excess,degC day,22,avkjølingsgraddager,"Sum av graddager over 22 grader (tas >22°C) for perioden 1991-2020, for 1x1 km romlig oppløsning. Basert på døgnnormaler for temperatur. ","Sum of degree days above 22 degrees (tas>22°C) for the period 1991-2020, at a 1x1 km spatial resolution. Based on daily temperature normals.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"avkjølingsgraddager for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal cooling degree-days averaged over the period 1991–2020.,"Andreas Dobler, Ole Einar Tveito",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES > COOLING DEGREE DAYS, GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > ATMOSPHERIC TEMPERATURE INDICES > COOLING DEGREE DAYS, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
fdgs,frost days in the growing season,,day,,frostdager i vekstsesongen,"Antall dager med minimumstemperatur under 0 grader (tasmin<0 °C) i vekstsesongen beregnet for hvert enkelt år for perioden 1991-2020, for 1x1 km romlig oppløsning.","Number of days with minimum temperature below 0 degrees (tasmin<0 °C) in the growing season, computed for each year separately for the period 1991-2020, at a 1x1 km spatial resolution. .",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"frostdager i vekstsesongen for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal frost days in the growing season averaged over the period 1991–2020.,"Andreas Dobler, Helga Therese Tilley Tajet",Norwegian Meteorological Institute (MET Norway)  ,klimavakten@met.no,"GCMDSK:EARTH SCIENCE > CLIMATE INDICATORS > ATMOSPHERIC/OCEAN INDICATORS > TEMPERATURE INDICES, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
tasmax,maximum air temperature,air_temperature,degC,,maksimumstemperatur,"Gjennomsnittet av hvert døgns høyeste lufttemperatur (ca 2 meter over bakken) for år eller sesong, for perioden 1991-2020, for 1x1 km romlig oppløsning. ","The average of each day's highest air temperature (approx. 2 meters above the ground) for year or season, for the period 1991-2020, at a 1x1 km spatial resolution.",2006-01-01T00:00:00Z,2006-01-01T00:00:00Z,,"maksimumstemperatur for år eller sesonger, midlet over perioden 1991–2020.",Annual or seasonal maximum air temperature averaged over the period 1991–2020.,"Irene Brox Nilsen, Helga Therese Tilley Tajet","Norwegian Water Resources and Energy Directorate (NVE), Norwegian Meteorological Institute (MET Norway)","climatedata@nve.no, klimavakten@met.no","GCMDSK:EARTH SCIENCE > ATMOSPHERE > ATMOSPHERIC TEMPERATURE > SURFACE TEMPERATURE > MAXIMUM/MINIMUM TEMPERATURE > 24 HOUR MAXIMUM TEMPERATURE, GEMET:Atmospheric conditions, NORTHEMES:Weather and climate",Climate Indicator,"GEONOR,KSS"
